   9.6302809808163703e-01	   3.1826510319834311e-01	
   9.8458670622954991e-01	   7.0278900683617029e-01	
   9.8892698230701048e-01	   9.6607015369492510e-01	
   1.9846776887096622e+00	   4.3570440752006140e-01	
   1.9728847017360369e+00	   6.4356308431443343e-01	
   1.9164611127290503e+00	   9.1379324160878572e-01	
   3.0652065508621864e+00	   4.3187525605961746e-01	
   3.0690899557735984e+00	   6.6744259798587202e-01	
   3.0572969687999731e+00	   8.7530127478024422e-01	
   4.0241505739500596e+00	   4.3847989985380603e-01	
   4.0126431314552127e+00	   6.6365970473099123e-01	
   4.0315176215025907e+00	   8.8536500439037702e-01	
   4.9677037496316734e+00	   4.3469700659892463e-01	
   4.9562534160325846e+00	   6.6334103709267245e-01	
   4.9446888646419822e+00	   8.8505661635329447e-01	
   5.9113140342090427e+00	   4.3437833896060579e-01	
   5.9455793716626806e+00	   6.6647117566906167e-01	
   5.9947786853565255e+00	   8.8123774449408654e-01	
   6.9310790312771200e+00	   4.3749819793575945e-01	
   6.9499535213244972e+00	   6.5920349759514563e-01	
   6.9536655995486418e+00	   8.8437816267171243e-01	
   7.9507298105536837e+00	   4.3368960567778780e-01	
   7.9848809302158070e+00	   6.5885399115311860e-01	
   7.9884787906484389e+00	   8.7710020499656038e-01	
   8.9399986572880206e+00	   4.3335551863761490e-01	
   8.9742068858459021e+00	   6.6198412972950860e-01	
   8.9778618551742895e+00	   8.8369456918951250e-01	
   1.0020584628336302e+01	   4.3299059279373375e-01	
   1.0024296706560445e+01	   6.5816525787030056e-01	
   1.0043114087712068e+01	   8.7640633191312434e-01	
